CSIS 011,Problem Solving with Spreadsheets ,,1 credit,"A lab-based introduction to problems, problem-solving, and the kinds of problems amenable to spreadsheet solutions. Provides a foundation for analyzing business and decision support problems using spreadsheet technology. Typical techniques studied may include absolute and relative addressing, macros, and conditionals. Students will be expected to apply their skills to various business scenarios and cases. May not be taken concurrently with or subsequent to CSIS-010. No prerequisites. Lab fee."
CSIS 106,Introduction to Exploratory Data Analysis and Visualization,,3 credits,"Data Science and analytics is an emerging field concerned with gathering, organizing, analyzing and visualizing large collections of information in order to extract actionable knowledge, i.e. to make decisions. This course is a basic introduction to the subject. Students will learn to identify data problems and to gather and analyze data using a suitable programming language such as R or Python. The coursework is aimed to help students to solve real world data problems obtained from a “subject matter expert”, i.e. a client who needs assistance with making data-driven decision in his/her field. No previous programming experience is necessary. Prerequisite: None. (ATTR: ARTS)"
CSIS 110,Introduction to Computer Science ,"(2 hours lecture, 2 hours laboratory) ",3 credits,"This course is a broad introduction to a variety of fundamental topics in computer science through a contemporary theme such as robotics, the web, graphics, or gaming. Students will consider problems in the application area that can be solved with software. Using the theme of the course, students will be introduced to important areas of computer science including abstraction, computer organization, representation of information, history of computing, ethics, and the development and evaluation of algorithmic solutions using an appropriate programming environment. Themes may differ across sections. Lab fee. (ATTR: ARTS, CAQ, CDQ, REC, STVN)"
CSIS 115,Database Design and Applications for Business ,,3 credits,"This course introduces the concepts and practices of database design and use from a business perspective. Topics to be covered include data models (object, entity-relationship, and relational, for example), database design techniques, data dictionaries, query language (e.g. SQL, QBE), requirements analysis, legacy systems, databases for decision support, presentation techniques (forms, web pages, etc.) and basic information on 222 database use in a business setting. The course includes hands-on use of a common business database management system to illustrate and emphasize the concepts. Prerequisite: CSIS-114. Computer use fee. (ATTR: ARTS)"
CSIS 120,Introduction to Software Development," (3 hours lecture, 2 hours laboratory) ",4 credits,"An introduction to the object-oriented design paradigm with an emphasis on problem solving, algorithm development, and implementation of algorithms as computer programs in an object-oriented language. Other topics will include data representation, programming style, program testing and analysis of algorithms. Prerequisite: CSIS-110 or SCDV-110 with a grade of C- or better. Lab fee. (ATTR: ARTS, CAQ, CDQ)"
CSIS 180,Web Design, (2 hours lecture and 2 hours lab) ,3 credits,"Web Design is a hands-on course covering the history and development of the Internet, the Web and the core technologies used to implement modern websites. Students will design and implement websites using sematic markup languages, style sheets, and various software tools and applications. The course will include techniques for integrating a wide range of media formats, and design fundamentals needed in implementing effective, userfriendly websites. Prerequisite: None. Lab fee. (ATTR: ARTS, MUMD)"
CSIS 200,Exploring ChatGPT & LLMs,,1 credit,"We will first begin by learning about LLMS in general and then discuss ChatGPT. We will then learn about the ChatGPT API and how to write code to interact with it automatically. We will explore the ethics of using ChatGPT and when students should be comfortable using it and when to not turn to it for solutions/aid. Prerequisites: None."
CSIS 203, Business Analytics and Information Systems,, 3 credits, "Professionals use business analytics and information system to solve critical business problems. This course will utilize statistical techniques and information systems to solve complicated real-world business problems. A student will learn to manage data properly and ethically. A student, using current visualization tools, will learn to manipulate and evaluate data to make an informed strategic business decision. Prerequisite(s): (BAAS 200 or MATH 275 or ATDV 110) and (CSIS 011 or CSIS SSX). (ATTR: BUS)"
CSIS 210,Data Structures ,"(3 hours lecture, 2 hours laboratory) ",4 credits,"This course continues the study of algorithm design and implementation with an emphasis on the use and implementation of data structures such as records, stacks, queues, linked lists, trees and graphs. Students will continue development of programming skills using modular and structured programming techniques. Prerequisite: CSIS-120 with a grade of C- or better. Lab fee. (ATTR: ARTS, COGC, DASC, INRM)"
CSIS 220,Assembly Language and Computer Architecture," (3 hours lecture, 2 hours laboratory)", 4 credits,"An introduction to assembly language programming using a specific assembly language (for example, ARM, Intel, or MIPS assembly language). Addressing techniques, internal computer components, machine language, subroutines, and parameter passing will be discussed. The course also covers topics in computer architecture including memory systems organization, interfacing and communication, functional organization, and multiprocessing architectures. Prerequisite: CSIS-120 with a C or better. Lab fee. (ATTR: ARTS, ISCE)"
CSIS 251,Discrete Structures, (3 hours Lecture and 1.5 hour Laboratory) ,4 credits,"This course includes a study of mathematical structures most frequently encountered in Computer Science. Topics covered include sets, functions, mathematical induction, complexity analysis of algorithms, counting methods including probability, recurrence relations, graphs, trees, Boolean logic, and relations. Proofs using mathematical induction will be emphasized. Other proof techniques will be developed. Three hours of lecture and 80 minutes of lab each week. Lab fee. Prerequisites: MATH-120, CSIS-120. Crosslisted as MATH-250. (ATTR: ARTS)"
